,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
152,GRASIM,24.047752553013584,34.353932218590835,2482.25,2484.6,5,35,2.5,2025-02-07 14:30:41.531311,2025-02-07 15:23:25.417190,8.588483054647709
153,ADANIENT,28.729642012224105,41.042345731748725,2348.95,2345.0,3,16,1.5,2025-02-07 12:16:12.520236,2025-02-07 15:09:45.370088,10.260586432937181
154,AARTIIND,5.351717821519525,7.645311173599322,466.05,468.3,3,21,1.5,2025-02-07 14:10:04.506661,2025-02-07 15:15:35.036008,1.9113277933998305
155,OFSS,127.39609690696092,181.99442415280132,9432.8,9419.3,1,16,0.5,2025-02-07 11:19:06.162658,2025-02-07 14:37:08.210539,45.49860603820033
156,INDHOTEL,8.389429549872666,11.984899356960952,791.8,791.9,2,22,1.0,2025-02-07 13:57:39.488950,2025-02-07 14:37:20.065325,2.996224839240238
157,IRCTC,9.543900060483873,13.634142943548389,773.3,772.5,3,11,1.5,2025-02-07 12:26:57.166613,2025-02-07 15:00:05.055151,3.408535735887097
158,PEL,14.075105133870968,20.107293048387096,1033.15,1031.0,3,34,1.5,2025-02-07 14:05:31.780947,2025-02-07 15:28:13.797870,5.026823262096774
159,INFY,12.584326733786073,17.97760961969439,1910.4,1912.2,3,22,1.5,2025-02-07 12:12:11.730375,2025-02-07 15:10:31.039680,4.494402404923598
160,CONCOR,7.854249938030559,11.220357054329371,724.2,726.0,3,14,1.5,2025-02-07 14:09:23.854807,2025-02-07 15:00:10.761529,2.805089263582343
161,SUNPHARMA,12.832803284380304,18.33257612054329,1750.3,1753.35,2,19,1.0,2025-02-07 11:43:09.285749,2025-02-07 15:11:03.676964,4.583144030135823
162,EICHERMOT,54.43247832402377,77.76068332003396,5367.577419354839,5379.0,0,12,0.0,2025-02-07 09:10:10.294467,2025-02-07 14:53:50.118689,19.44017083000849
163,HDFCAMC,43.86951113370119,62.6707301910017,3902.0,3937.2,5,27,2.5,2025-02-07 14:26:30.494256,2025-02-07 15:27:40.292476,15.667682547750426
