,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
163,OIL,-4.5746887966804985,480.0,9.675,0.3454436249538418,520.0,2.325,0.11193183142629336,-5.025
198,TATACHEM,-3.834979662986636,1020.0,21.200000000000003,0.3875503699495845,1080.0,8.075,0.17905682558280095,-5.050000000000004
185,SBICARD,0.865979381443299,755.0,12.45,0.3597658419337279,800.0,3.675,0.13516887760784652,-5.1
113,IRCTC,-3.255086071987481,800.0,10.825,0.3213295133917211,850.0,2.6500000000000004,0.10196568753912763,-5.524999999999999
217,VBL,-3.6675562333206257,660.0,10.5,0.31714190382808366,710.0,2.45,0.09767297379521375,-5.6
23,AXISBANK,-1.8725904167431615,1100.0,14.325,0.3350778273617098,1150.0,4.35,0.13134917425212161,-5.625
128,LAURUSLABS,-1.592096668843893,630.0,11.225000000000001,0.328443037449552,680.0,2.8,0.10725596915374412,-5.625000000000002
121,JSWSTEEL,-1.52372659991293,930.0,15.325,0.36280732998716597,980.0,4.8,0.14565561525293902,-5.725
130,LICI,-4.379721887660134,900.0,14.1,0.34962310656234713,950.0,4.15,0.1329709837151312,-5.799999999999999
197,SYNGENE,0.4533565823888404,890.0,16.85,0.37077549176308416,940.0,5.475,0.15645584546480565,-5.900000000000002
80,GRANULES,0.7156959526159922,640.0,11.225000000000001,0.3264910820164493,700.0,2.6500000000000004,0.09657545268904676,-5.925000000000001
46,CANFINHOME,-3.541896361631753,730.0,11.75,0.32211527109683813,780.0,2.9000000000000004,0.10636300445288173,-5.949999999999999
116,JINDALSTEL,-2.0300869293633856,970.0,16.525,0.3577238500207484,1020.0,5.225,0.14871476704429665,-6.074999999999999
70,DRREDDY,-0.33085802514520996,1390.0,19.775,0.35599367914647145,1450.0,6.825,0.15465574873313037,-6.124999999999998
56,CONCOR,-3.312182741116751,790.0,12.350000000000001,0.332773806313569,840.0,3.0999999999999996,0.11169238982094472,-6.150000000000002
223,ZYDUSLIFE,-1.6760061130922057,1000.0,11.925,0.30522253872157057,1060.0,2.8499999999999996,0.09370960224166737,-6.225000000000001
122,JUBLFOOD,1.4180187310381216,800.0,12.75,0.3264144351254854,860.0,3.2,0.10462280751002019,-6.35
180,RAMCOCEM,-3.3570959098033266,980.0,17.1,0.3761918588774357,1030.0,5.375,0.15562560518022214,-6.350000000000001
123,KALYANKJIL,-4.6788111217641415,780.0,18.450000000000003,0.358072365247993,840.0,6.0,0.14956872536098667,-6.450000000000003
192,SONACOMS,-1.662868236684393,610.0,12.925,0.3439939141498442,670.0,3.225,0.10986698099813749,-6.4750000000000005
119,JSL,-2.312775330396476,690.0,14.525,0.36353129130214695,740.0,4.0,0.1342297634217239,-6.525
96,ICICIBANK,-0.16896538174387993,1300.0,17.4,0.3569767847820792,1350.0,5.425000000000001,0.1488904873763632,-6.549999999999997
68,DLF,-3.097424815415091,830.0,15.25,0.3723188537153532,880.0,4.35,0.1409337715778369,-6.550000000000001
78,GODREJCP,1.9463744877961875,1180.0,18.25,0.34689398562369134,1240.0,5.75,0.14092379924241652,-6.75
19,ATGL,-3.9022358005832523,730.0,17.5,0.3447369890767206,800.0,5.375,0.13220854905962845,-6.75
103,INDHOTEL,-3.5390665070952303,870.0,15.5,0.37015341220413567,920.0,4.3,0.1387930836659949,-6.9
49,CGPOWER,-3.2146957520091854,750.0,14.8,0.33717194343732765,810.0,3.9000000000000004,0.11714493124930037,-7.0
145,MFSL,-1.9265313454284176,1120.0,21.4,0.3839477149505844,1180.0,7.15,0.1659790058179744,-7.099999999999998
146,MGL,-3.285265508497029,1320.0,28.825,0.37675409132706766,1400.0,10.725000000000001,0.17473637319088647,-7.3749999999999964
32,BATAINDIA,-2.2115815219263495,1460.0,20.025,0.3416048421938993,1530.0,6.125,0.13385300753227705,-7.774999999999999
6,ADANIENSOL,-6.487994178995876,820.0,18.700000000000003,0.32675779236890073,900.0,5.375,0.1197082433853831,-7.950000000000003
25,BAJAJFINSV,-0.9178602747734582,1740.0,20.975,0.33460948106776933,1820.0,6.5,0.1286372835629593,-7.975000000000001
36,BHARTIARTL,-0.6728552738147155,1640.0,16.35,0.3079037968272407,1720.0,4.175000000000001,0.09864255759640912,-8.0
179,PVRINOX,-3.4295337977493685,1300.0,24.65,0.3692761980398242,1380.0,8.2,0.15348842508193924,-8.25
194,SUNPHARMA,-0.2687016337059329,1900.0,16.950000000000003,0.31362913943793275,1980.0,4.35,0.10116689933330475,-8.250000000000004
107,INDUSINDBK,-2.782634760453615,1020.0,16.575,0.31267272734459334,1100.0,3.975,0.09809846072257389,-8.625
167,PEL,-4.842955700798838,1100.0,21.2,0.3296553719652931,1180.0,6.1,0.12431315457778905,-9.0
166,PAYTM,-1.3095117246980001,1020.0,24.825,0.3557326951733183,1100.0,7.875,0.1473800806370344,-9.075
186,SBILIFE,-0.8297755130147364,1480.0,22.25,0.35407730229618267,1560.0,6.525,0.13304438356747594,-9.2
51,CHOLAFIN,-2.0857692452759027,1340.0,23.0,0.3541583679657186,1420.0,6.9,0.13696414276601207,-9.2
22,AUROPHARMA,-0.41435943797792596,1360.0,20.925,0.35278566205070055,1440.0,5.85,0.1264013936986841,-9.225000000000001
52,CIPLA,-1.5137024700722226,1540.0,20.625,0.33098592197875554,1620.0,5.65,0.11841743255572583,-9.325
87,HDFCBANK,-2.1854041150392183,1760.0,21.575,0.35079859473175296,1830.0,5.975,0.13178250557422355,-9.625
18,ASTRAL,-3.6728290627210924,1620.0,24.6,0.33526643763930525,1720.0,7.475,0.12554676068323292,-9.650000000000002
9,ADANIPORTS,-2.910525223167947,1220.0,20.25,0.32456124117761814,1320.0,5.225,0.10443109389743471,-9.8
35,BHARATFORG,-2.903176190109975,1300.0,21.425,0.35745458669705127,1380.0,5.775,0.1261811568084567,-9.875
155,NESTLEIND,-2.4589247792556166,2220.0,27.025,0.37222062428020974,2300.0,8.524999999999999,0.15275817486764132,-9.975000000000001
219,VOLTAS,-2.6486264862648627,1840.0,26.875,0.3348487807489499,1940.0,8.35,0.13072522832167163,-10.175
215,UNITDSPR,-2.7387951664844747,1680.0,26.75,0.3839860930060314,1760.0,8.2,0.15418160851032375,-10.350000000000001
125,KOTAKBANK,-3.326555510370069,1820.0,26.799999999999997,0.3760661962011772,1900.0,8.2,0.15154893163359984,-10.399999999999999
142,MAXHEALTH,-2.012626583619338,1200.0,27.625,0.3715350472358755,1300.0,8.575,0.14404051658090142,-10.475000000000001
13,APLAPOLLO,-1.5081563558017852,1660.0,28.25,0.3403842625283504,1760.0,8.8,0.13529572436677026,-10.649999999999999
111,IPCALAB,-0.5878623710448966,1780.0,27.575,0.34459194618808636,1880.0,8.35,0.13274251800639503,-10.875
85,HCLTECH,-0.10794140323824211,2000.0,27.275,0.33950932204651185,2100.0,8.149999999999999,0.1293905828114963,-10.975000000000001
47,CDSL,-4.361035158947165,1800.0,35.45,0.3511817442881794,1920.0,12.175,0.1491218881683231,-11.100000000000001
109,INFY,0.17225864507006045,2000.0,28.475,0.35183802414312626,2100.0,8.600000000000001,0.13560383850254623,-11.274999999999999
97,ICICIGI,-1.199001736111111,1880.0,30.05,0.3467823608691703,1980.0,9.25,0.1386296048822344,-11.55
199,TATACOMM,-2.8164575095983038,1760.0,26.424999999999997,0.3262915580087754,1860.0,7.425,0.12042956310577686,-11.574999999999998
76,GLENMARK,-0.9020265122657323,1680.0,26.825000000000003,0.34426081999551794,1780.0,7.6,0.12656626317668299,-11.625000000000004
212,UBL,-2.342902936878329,2120.0,33.55,0.3734757108275547,2220.0,10.649999999999999,0.1542386751824981,-12.25
94,HINDUNILVR,-1.0811482540077049,2440.0,29.0,0.3513290113139868,2540.0,8.375,0.1322313867131957,-12.25
8,ADANIGREEN,-5.794940848321631,1040.0,33.224999999999994,0.3672611601487717,1160.0,10.425,0.14672019265299957,-12.374999999999993
84,HAVELLS,-3.4546467638347162,1700.0,28.275,0.3497735390986655,1800.0,7.85,0.12894069893677493,-12.575
126,KPITTECH,-0.705801342744018,1520.0,31.75,0.3306140583340655,1640.0,9.524999999999999,0.12809060118317167,-12.700000000000003
136,LUPIN,-0.49754377125582566,2440.0,33.474999999999994,0.33867652533483744,2560.0,10.375,0.13295004841798783,-12.724999999999994
206,TECHM,-0.4922478335200142,1740.0,26.675,0.3466219215418857,1840.0,6.875,0.11985012237892931,-12.925
5,ACC,-3.2262759557539296,2060.0,33.625,0.3479145842135147,2180.0,10.225000000000001,0.13493409244983515,-13.174999999999997
81,GRASIM,-2.379395740465577,2520.0,30.85,0.35003983368624647,2620.0,8.775,0.13364152018876246,-13.3
209,TORNTPHARM,-1.4152183438002044,3450.0,59.225,0.3852828216776341,3600.0,22.825000000000003,0.18469317136702001,-13.574999999999996
63,DALBHARAT,-2.8771620093238806,1820.0,37.825,0.3700203174223461,1940.0,11.975000000000001,0.15115965963333805,-13.875
17,ASIANPAINT,-3.028170515855245,2340.0,31.25,0.3371431678757121,2460.0,8.675,0.12130517795286666,-13.899999999999999
131,LODHA,-4.012915129151291,1420.0,31.6,0.34482439098005196,1540.0,8.75,0.12595244005168593,-14.100000000000001
150,MUTHOOTFIN,-2.4756871974776855,2260.0,36.275000000000006,0.3564773405572109,2380.0,10.975000000000001,0.14028930204229678,-14.325000000000003
174,POLICYBZR,-4.8334568649911285,2200.0,54.425,0.3775825996737751,2350.0,19.4,0.1721886066381526,-15.625
55,COLPAL,-2.524395417904115,2850.0,40.925,0.3317266547552899,3000.0,12.625,0.12990121440412009,-15.674999999999997
193,SRF,-0.9461663947797716,2340.0,36.65,0.35824488456797676,2460.0,10.225000000000001,0.13478047634157903,-16.199999999999996
64,DEEPAKNTR,-1.637351057793629,2500.0,41.475,0.3569352575079817,2650.0,12.475,0.1359159612488027,-16.525000000000002
132,LT,-1.6342222161846411,3700.0,48.675,0.36067490790568546,3850.0,15.875,0.15028865911519926,-16.924999999999997
57,COROMANDEL,-1.0226090486944608,2020.0,29.525,0.3283950526541537,2160.0,6.300000000000001,0.09428144130236911,-16.924999999999997
178,PRESTIGE,-4.914478438930378,1650.0,40.575,0.36401347527889816,1800.0,11.45,0.13396869707717693,-17.675000000000004
161,OBEROIRLTY,-2.3011351088732828,2300.0,45.7,0.3517752716139227,2460.0,13.95,0.1381479993378574,-17.800000000000004
144,METROPOLIS,2.3365069845315745,2140.0,51.75,0.3621696458424871,2320.0,16.875,0.1479763810654542,-18.0
208,TITAN,0.3773258828273518,3550.0,54.8,0.38900978647291995,3700.0,18.299999999999997,0.1679036596327262,-18.200000000000003
171,PIDILITIND,-1.510112664585313,2980.0,44.9,0.35715714819547406,3120.0,12.7,0.13761958020367754,-19.5
7,ADANIENT,-3.607917644093756,2580.0,50.35,0.354217407315573,2760.0,15.35,0.13765965278521142,-19.650000000000002
61,CYIENT,-1.5064319566689235,1840.0,36.349999999999994,0.3244499179589646,2000.0,8.3,0.10158699471639367,-19.749999999999993
211,TVSMOTOR,-2.6837035108449663,2500.0,41.925,0.36115953570959625,2650.0,10.899999999999999,0.12639838355406727,-20.125
89,HEROMOTOCO,-1.1169251707065257,4300.0,68.9,0.3856137859372999,4500.0,24.375,0.1688287163864636,-20.150000000000006
60,CUMMINSIND,-1.6422849720100208,3300.0,52.900000000000006,0.33357270710914816,3500.0,16.25,0.12926333997008452,-20.400000000000006
79,GODREJPROP,-4.278697471348008,2750.0,49.675,0.3301722417868584,2950.0,14.0,0.12005104025043496,-21.674999999999997
104,INDIAMART,-3.358893333038694,2300.0,39.425,0.31225651102277524,2500.0,8.775,0.09211104180431982,-21.874999999999996
27,BALKRISIND,-3.196759013551287,2850.0,45.025,0.3228889768324475,3050.0,11.175,0.10523894889045785,-22.674999999999997
41,BRITANNIA,-0.8696638950213548,4900.0,63.15,0.3671873218492201,5100.0,20.075,0.148615100105542,-23.0
72,ESCORTS,-1.093162924173841,3450.0,49.7,0.33692155187741446,3650.0,13.125,0.11605713864358391,-23.450000000000003
189,SHRIRAMFIN,-2.713159312405113,3100.0,58.825,0.34561906542850634,3300.0,17.475,0.1353409122767149,-23.875
205,TCS,-0.09659000599102568,4200.0,61.4,0.35010574775870584,4400.0,18.525,0.1386147278461334,-24.35
137,M&M,-2.7936359382311653,3200.0,52.025,0.3641602649075813,3400.0,13.649999999999999,0.1243414554514536,-24.725
127,LALPATHLAB,1.9651320243737307,3150.0,61.650000000000006,0.3379396008409139,3400.0,18.15,0.1253310667548802,-25.35000000000001
12,ANGELONE,-3.0648281247227107,2900.0,78.30000000000001,0.34816050575454116,3200.0,26.25,0.1430083039237406,-25.80000000000001
148,MPHASIS,0.948254863068518,3000.0,59.75,0.36495741379180857,3200.0,16.925,0.13783408688345342,-25.9
86,HDFCAMC,-3.0307321909078033,4250.0,79.025,0.35693169337859004,4500.0,26.5,0.15169992754293593,-26.025000000000006
69,DMART,-2.1282643892672195,4100.0,87.1,0.36837394574449056,4400.0,30.325,0.1548193679416634,-26.449999999999996
172,PIIND,-1.7085536420600507,3750.0,54.975,0.325219335848885,4000.0,14.125,0.10681960574601794,-26.725
71,EICHERMOT,-0.9675663500882165,5400.0,75.175,0.36061156123455096,5650.0,24.05,0.14510562678185743,-27.074999999999996
153,NAVINFLUOR,-0.5153417841487975,3450.0,56.325,0.36421261603438443,3650.0,14.625,0.1272692737574894,-27.075000000000003
106,INDIGO,-4.67977553110943,4400.0,77.30000000000001,0.36898140079356184,4650.0,23.475,0.14557761989006376,-30.35000000000001
14,APOLLOHOSP,1.7902097902097907,7650.0,108.67500000000001,0.3555066659609784,8000.0,38.5,0.15376140696042778,-31.67500000000001
66,DIVISLAB,-2.847443137448316,6050.0,94.7,0.37094558682660744,6350.0,30.1,0.1504168789290873,-34.5
83,HAL,-2.8529557756399653,4300.0,57.5,0.29511406529201323,4700.0,11.45,0.07254068839519777,-34.6
134,LTIM,0.048725735019011736,5950.0,106.875,0.35232872175651836,6300.0,35.425,0.1475320186425476,-36.025000000000006
124,KEI,-3.0305793318820595,4400.0,99.42500000000001,0.37740915669317737,4700.0,31.525,0.15643365245527976,-36.375000000000014
