,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
15,ASHOKLEY,-0.37049511620074105,77.98783847510332,205.0,3.3499999999999996,-0.4140285994264832,207.06,195.0,0.975,-0.14918001746983822,-1.3999999999999997,-0.006761325219743068
140,MGL,1.7894330890860006,90.03684051856989,1280.0,21.075,-0.32384484218428533,1319.7,1200.0,6.075,-0.11279173343935534,-8.924999999999999,-0.006762900659240735
14,APOLLOTYRE,-0.8640489992343872,63.02074729841961,440.0,4.824999999999999,-0.29093514694361433,453.2,410.0,0.875,-0.0640329180275202,-3.0749999999999993,-0.006785083848190643
20,AUROPHARMA,1.7911091929218816,98.11880048132043,1160.0,19.475,-0.3806562892735381,1179.25,1100.0,5.725,-0.13958322158177694,-8.025000000000002,-0.006805172779308885
107,IRB,4.321455648218348,17.279784080720397,54.0,1.225,-0.3882971578960922,55.04,51.0,0.42500000000000004,-0.16816888513784956,-0.375,-0.0068132267441860465
148,NCC,1.4961585119288314,84.89795444550158,245.0,5.525,-0.36919694570308037,251.0,230.0,1.9,-0.15473422101054912,-1.7250000000000005,-0.006872509960159365
155,OBEROIRLTY,0.8125926304492258,99.9999993627339,1920.0,44.4,-0.36151449023252913,1972.6,1800.0,15.4,-0.1531569020982657,-13.599999999999998,-0.006894454020075027
43,CANFINHOME,0.007264802034144571,99.96105069453684,670.0,13.149999999999999,-0.3513595133335935,688.3,630.0,4.199999999999999,-0.13782894420740555,-4.75,-0.0069010605840476545
45,CGPOWER,3.05149396058487,99.9751688533008,630.0,14.875,-0.35746121293171784,648.4,590.0,5.199999999999999,-0.15265866174480658,-4.475000000000001,-0.006901603948180138
115,JSWENERGY,-0.30658724597056763,99.15240795992203,550.0,8.5,-0.3074398295686619,569.05,510.0,2.2750000000000004,-0.0951049472025226,-3.9499999999999993,-0.006941393550654599
88,HINDPETRO,0.29296875,99.66384003425802,350.0,7.45,-0.35690457359875793,359.45,330.0,2.475,-0.1492632352304163,-2.5,-0.006955070246209487
136,MAXHEALTH,-2.29693741677763,25.295603063139456,1000.0,17.875,-0.34285385209777675,1027.25,940.0,5.325,-0.12561293052502887,-7.225,-0.007033341445607203
39,BSE,0.4939819458375125,10.3373503592248,5800.0,98.9,-0.3106934361939191,6011.55,5400.0,28.3,-0.10602974781131824,-42.300000000000004,-0.0070364548244629095
74,GODREJCP,3.3185648510120758,99.98918902052253,1160.0,18.025,-0.33863246550221926,1189.3,1100.0,4.825,-0.11829319048141052,-8.374999999999998,-0.007041957453964516
102,INDUSINDBK,-0.25609506248719527,97.93982242286296,940.0,13.925,-0.30034608293897236,973.7,880.0,3.525,-0.09435337641196517,-6.875000000000001,-0.007060696313032762
72,GLENMARK,0.45009718007297034,58.61228626393659,1440.0,20.85,-0.34205357827086336,1472.95,1360.0,5.2,-0.10781673178090756,-10.450000000000001,-0.007094606062663363
152,NMDC,1.7209869022235762,89.36966152572352,65.0,1.125,-0.3393042856952845,66.79,60.0,0.32499999999999996,-0.10807252044002125,-0.4750000000000001,-0.007111843090282977
178,SBICARD,-2.3430796647086005,99.99999652101911,720.0,12.925,-0.3461337858774436,739.8,680.0,3.8,-0.12989423158966606,-5.325000000000001,-0.007197891321978915
100,INDIANB,-0.8178792201616738,11.160137969608117,510.0,9.875,-0.36594098213389925,521.45,480.0,3.05,-0.1395560706280805,-3.7750000000000004,-0.007239428516636302
160,PAYTM,0.2894033837934105,25.559265782147573,880.0,26.1,-0.3877224672710228,901.0,820.0,9.774999999999999,-0.1769642293443272,-6.550000000000004,-0.007269700332963379
75,GODREJPROP,1.5903186973325731,81.14201569920172,2350.0,41.55,-0.3555671289975634,2405.1,2200.0,11.975000000000001,-0.12254751461899971,-17.599999999999994,-0.007317783044364058
3,ABFRL,-0.45167118337850043,5.816536372614537e-16,270.0,4.225,-0.3586388741614035,275.5,255.0,1.1,-0.1177871558178808,-2.0249999999999995,-0.007350272232304898
207,UNIONBANK,-0.8835048729392477,99.63795349013755,106.0,1.75,-0.3387147784701212,108.82,100.0,0.475,-0.11749402727087832,-0.8,-0.007351589781290205
192,TATACOMM,-0.5373988726306259,99.9980783748955,1660.0,31.049999999999997,-0.3515023300166873,1702.75,1560.0,9.225000000000001,-0.12971569676250372,-12.599999999999994,-0.007399794450154159
64,DLF,1.151437613628712,99.97156944674666,730.0,11.399999999999999,-0.32621200479846046,751.1,680.0,2.9000000000000004,-0.0990723929314925,-5.599999999999998,-0.007455731593662625
96,IEX,0.812200537571579,95.98065926537002,170.0,4.15,-0.40957816694899496,172.53,160.0,1.4249999999999998,-0.1747622514606023,-1.3000000000000007,-0.007534921462933986
95,IDFCFIRSTB,-0.1431297709923664,97.88200142983483,61.0,1.025,-0.33088956405096326,62.79,57.0,0.275,-0.10836268115211434,-0.47499999999999987,-0.007564898869246693
71,GAIL,0.17686398054496216,93.5963302943166,175.0,2.225,-0.28670285432460973,181.25,160.0,0.42500000000000004,-0.06254950476464072,-1.375,-0.007586206896551724
121,KPITTECH,-0.8150020752367657,99.9999787201309,1280.0,28.674999999999997,-0.36106742268709957,1314.35,1200.0,9.35,-0.14654465906854752,-9.974999999999998,-0.007589302697150682
126,LODHA,3.9293598233995586,81.59475547910424,1140.0,24.85,-0.34215528549394514,1177.0,1060.0,7.95,-0.13158388337433125,-8.950000000000001,-0.007604078164825829
98,INDHOTEL,0.22151119862170812,99.99945185460622,790.0,13.75,-0.3288967907006375,814.4,740.0,3.775,-0.11271938228308898,-6.2,-0.007612966601178783
47,CHOLAFIN,-1.858562244301578,93.79086657086961,1240.0,21.875,-0.3920664838706007,1259.4,1180.0,6.075,-0.14538004374847335,-9.725,-0.007721931078291249
103,INDUSTOWER,2.3608768971332212,99.63962771549359,350.0,5.0,-0.2842098903788647,364.2,320.0,1.0750000000000002,-0.07073667302831343,-2.8499999999999996,-0.007825370675453048
200,TIINDIA,2.391768705436385,24.632557491660677,3300.0,60.2,-0.3313824220503585,3403.4,3100.0,16.75,-0.11841266698792474,-26.700000000000003,-0.007845096080390199
61,DELHIVERY,1.7644397526768212,99.82671121654214,330.0,6.6,-0.36830486945953766,337.4,310.0,1.975,-0.13784573737495676,-2.6499999999999995,-0.00785417901600474
101,INDIGO,-0.3756245213522483,99.99990053305855,4000.0,71.225,-0.352481355621436,4097.7,3750.0,19.375,-0.11944355503028004,-32.474999999999994,-0.007925177538619224
